"Versão","Menu do CRM","Subcategoria API","Título Exato da Requisição","Descrição da Requisição","HTTP Request","Custo"
"V1","Outro","Busca","Buscar por termo","Pesquisa um termo no escavador.","GET api/v1/busca","R$ 3,00"
"V1","Relatórios Jurídicos","Diários Oficiais","Download do PDF da página do Diário Oficial","Retorna em formato PDF, uma página do Diário Oficial pelo identificador.","GET api/v1/diarios/{id}/pdf/pagina/{pagina}/baixar","R$ 3,00"
"V1","Relatórios Jurídicos","Diários Oficiais","Página do Diário Oficial","Retorna uma página específica do Diário Oficial pelo seu identificador.","GET api/v1/diarios/pagina/{id}","R$ 3,00"
"V1","Empresa","Instituições","Obter Instituição","Retorna dados relacionados a uma instituição (Empresa/Órgão).","GET api/v1/instituicoes/{instituicaoId}","R$ 3,00"
"V1","Empresa","Instituições","Pessoas de uma Instituição","Retorna as pessoas que estão associadas a uma instituição.","GET api/v1/instituicoes/{instituicaoId}/pessoas","R$ 3,00"
"V1","Empresa","Instituições","Processos de uma Instituição","Retorna os processos de uma instituição em Diários Oficiais.","GET api/v1/instituicoes/{instituicaoId}/processos","R$ 3,00"
"V1","Jurisprudência","Jurisprudências","Busca por Jurisprudências","Traz a lista paginada dos itens encontrados na busca.","GET api/v1/jurisprudencias","R$ 3,00"
"V1","Jurisprudência","Jurisprudências","Documento de Jurisprudência","Traz informações sobre um documento de Jurisprudência específico.","GET api/v1/jurisprudencias/{id}","R$ 3,00"
"V1","Jurisprudência","Jurisprudências","PDF de uma jurisprudência","Retorna, em formato PDF, um documento de jurisprudência.","GET api/v1/jurisprudencias/{id}/pdf","R$ 3,00"
"V1","Legislações","Legislação","Busca por Legislação","Traz a lista paginada dos itens encontrados na busca de leis.","GET api/v1/legislacoes","R$ 3,00"
"V1","Legislações","Legislação","Documento de Legislação","Traz informações sobre um documento de Legislação específico.","GET api/v1/legislacoes/{id}","R$ 3,00"
"V1","Legislações","Legislação","Fragmentos do texto de uma Legislação","Traz os fragmentos de uma legislação paginados.","GET api/v1/legislacoes/{id}/fragmentos","R$ 3,00"
"V1","Relatórios Jurídicos","Monitoramento Diários","Registrar novo monitoramento","Cadastra um termo ou processo para ser monitorado nos diários oficiais.","POST api/v1/monitoramentos","R$ 3,00 / mês"
"V1","Processo","Monitoramento Tribunais","Registrar novo monitoramento (Tribunal)","Cadastra um processo para monitoramento direto nos tribunais (Diária/Semanal).","POST api/v1/monitoramentos-tribunal","R$ 3,00 / mês"
"V1","Processo","Movimentações","Retornar uma movimentação","Retorna uma movimentação de processo específica.","GET api/v1/movimentacoes/{movimentaco}","R$ 3,00"
"V1","Pessoa","Pessoas","Obter pessoa","Retorna dados relacionados a uma pessoa física pelo identificador.","GET api/v1/pessoas/{pessoaId}","R$ 3,00"
"V1","Pessoa","Pessoas","Processos de uma Pessoa","Retorna os processos de uma pessoa que saíram em Diários Oficiais.","GET api/v1/pessoas/{pessoaId}/processos","R$ 3,00"
"V1","Processo","Processos","Autos de um Processo","Retorna os autos de um processo na busca em tribunais.","GET api/v1/processos/autos","R$ 3,00"
"V1","Processo","Processos","Autos de um Processo - Documentos","Retorna alguns documentos dos autos de um processo.","GET api/v1/processos/autos","R$ 0,75"
"V1","Advogado(a)","Processos","Buscar processos dos Diários por OAB","Busca processos nos Diários Oficiais relacionados a uma OAB.","GET api/v1/oab/{estado}/{numero}/processos","R$ 3,00"
"V1","Processo","Processos","Buscar processos dos Diários por número","Busca processos nos Diários Oficiais através do número único CNJ.","GET api/v1/processos/numero/{numero}","R$ 3,00"
"V1","Processo","Processos","Envolvidos de um Processo","Retorna as partes envolvidas no processo.","GET api/v1/processos/{processoId}/envolvidos","R$ 3,00"
"V1","Processo","Processos","Movimentações de um processo (D.O.)","Retorna as movimentações capturadas via diários oficiais.","GET api/v1/processos/{processoId}/movimentacoes","R$ 3,00"
"V1","Processo","Processos","Processo no Diário Oficial","Retorna detalhes da capa de um processo no Escavador.","GET api/v1/processos/{id}","R$ 3,00"
"V1","Processo","Processos (Assíncronos)","Pesquisar processo no tribunal","A busca é feita diretamente nos sites dos tribunais pelos robôs (pelo nº CNJ).","POST api/v1/processo-tribunal/{numero}/async","R$ 3,00"
"V1","Pessoa / Empresa","Processos (Assíncronos)","Pesquisar processos por CPF ou CNPJ","A busca é feita diretamente nos sites dos tribunais através do CPF/CNPJ.","POST api/v1/tribunal/{origem}/busca-por-documento/async","R$ 3,00"
"V1","Advogado(a)","Processos (Assíncronos)","Pesquisar processos por OAB","A busca é feita diretamente nos sites dos tribunais através do número da OAB.","POST api/v1/tribunal/{origem}/busca-por-oab/async","R$ 3,00"
"V1","Pessoa","Processos (Assíncronos)","Pesquisar processos por Nome","A busca é feita diretamente nos sites dos tribunais através do nome da parte.","POST api/v1/tribunal/{origem}/busca-por-nome/async","R$ 3,00"
