"Versão","Grupo / Seção","Título Exato da Requisição","Descrição da Requisição","HTTP Request","Custo"
"V1","Busca Assíncrona","Todos os resultados das buscas assíncronas","Consultar todos os resultados das buscas assíncronas.","GET api/v1/async/resultados","Grátis"
"V1","Busca Assíncrona","Resultado específico de uma busca assíncrona","Consultar um resultado específico de uma busca assíncrona.","GET api/v1/async/resultados/{id}","Grátis"
"V1","Callback","Marcar callbacks como recebidos","Marca os callbacks enviados pela API como recebidos.","POST api/v1/callbacks/marcar-recebidos","Grátis"
"V1","Callback","Retornar os callbacks","Consultar todos os callbacks recebidos pela API.","GET api/v1/callbacks","Grátis"
"V1","Callback","Reenviar callback","Reevia o callback informado.","POST api/v1/callbacks/{id}/reenviar","Grátis"
"V1","Diários Oficiais","Retornar origens","Retorna as origens de todos os diários disponíveis no Escavador.","GET api/v1/origens","Grátis"
"V1","Monitoramento de Diários Oficiais","Retornar os diários oficiais monitorados","Retorna os diários oficiais de um monitoramento.","GET api/v1/monitoramentos/{monitoramentoId}/origens","Grátis"
"V1","Monitoramento de Diários Oficiais","Retornar monitoramentos","Retorna todos os monitoramentos de diários do usuário.","GET api/v1/monitoramentos","Grátis"
"V1","Monitoramento de Diários Oficiais","Retornar um monitoramento","Retorna um monitoramento pelo seu identificador.","GET api/v1/monitoramentos/{monitoramento}","Grátis"
"V1","Monitoramento de Diários Oficiais","Editar um monitoramento","Edita um monitoramento de diário oficial.","PUT api/v1/monitoramentos/{monitoramento}","Grátis"
"V1","Monitoramento de Diários Oficiais","Remover monitoramento","Remove um monitoramento de diário cadastrado pelo usuário.","DELETE api/v1/monitoramentos/{monitoramento}","Grátis"
"V1","Monitoramento de Diários Oficiais","Retornar aparições","Retorna as aparições de um monitoramento.","GET api/v1/monitoramentos/{monitoramento}/aparicoes","Grátis"
"V1","Monitoramento de Diários Oficiais","Testar callback do monitoramento","Rota usada para testar o retorno enviado quando ocorre uma aparição.","POST api/v1/monitoramentos/testcallback","Grátis"
"V1","Monitoramento no site do Tribunal","Retornar monitoramentos","Retorna todos os monitoramentos criados pelo usuário.","GET api/v1/monitoramentos-tribunal","Grátis"
"V1","Monitoramento no site do Tribunal","Retornar monitoramento","Retorna um monitoramento pelo identificador.","GET api/v1/monitoramentos-tribunal/{monitoramentoId}","Grátis"
"V1","Monitoramento no site do Tribunal","Editar um monitoramento","Edita um monitoramento de sistema do tribunal.","PUT api/v1/monitoramentos-tribunal/{monitoramentoId}","Grátis"
"V1","Monitoramento no site do Tribunal","Remover monitoramento","Remove um monitoramento pelo identificador cadastrado pelo usuário.","DELETE api/v1/monitoramentos-tribunal/{id}","Grátis"
"V1","Saldo da API","Consultar saldo","Retorna o saldo atual do usuário na API.","GET api/v1/quantidade-creditos","Grátis"
"V1","Tribunais e Órgãos Administrativos","Retornar Sistemas dos tribunais disponíveis","Retorna os sistemas de tribunais disponíveis no Escavador.","GET api/v1/tribunal/origens","Grátis"
"V1","Tribunais e Órgãos Administrativos","Retornar detalhes de um Tribunal","Retorna os detalhes de um tribunal específico.","GET api/v1/tribunal/origens/{origem}","Grátis"
"V1","Tribunais e Órgãos Administrativos","Retornar Órgãos administrativos disponíveis","Retorna os órgãos administrativos disponíveis no Escavador.","GET api/v1/orgao-administrativo/origens","Grátis"
"V2","Atualização de processos","Status de uma atualização de processo","Retorna o status de uma solicitação de atualização de um processo.","GET api/v2/processos/numero_cnj/{numero}/status-atualizacao","Grátis"
"V2","Callback","Retornar os callbacks","Consultar todos os callbacks recebidos pela API.","GET api/v2/callbacks","Grátis"
"V2","Callback","Marcar callbacks como recebidos","Marca os callbacks enviados pela API como recebidos.","POST api/v2/callbacks/marcar-recebidos","Grátis"
"V2","Callback","Reenviar callback","Reenvia o callback informado.","POST api/v2/callbacks/{id}/reenviar","Grátis"
"V2","Certificados Digitais","Cadastrar certificado digital","Realiza o upload de um certificado (.pfx ou .p12).","POST api/v2/certificados","Grátis"
"V2","Certificados Digitais","Listar todos os certificados","Retorna a lista paginada de certificados digitais.","GET api/v2/certificados","Grátis"
"V2","Certificados Digitais","Retornar um certificado específico","Retorna os dados detalhados de um certificado específico.","GET api/v2/certificados/{id}","Grátis"
"V2","Certificados Digitais","Remover um certificado","Remove o certificado digital e todos as suas configurações de autenticação.","DELETE api/v2/certificados/{id}","Grátis"
"V2","Certificados Digitais","Configurar autenticações","Adiciona novas configurações de 2FA ou atualiza a secret de sistemas já vinculados.","POST api/v2/certificados/{id}/autenticacoes","Grátis"
"V2","Certificados Digitais","Remover uma autenticação","Remove a autenticação de um sistema específico deste certificado.","DELETE api/v2/certificados/{id}/autenticacoes/{autenticacaoId}","Grátis"
"V2","Monitoramento de novos processos","Listar todos os monitoramentos","Retorna todos os monitoramentos de novos processos do usuário.","GET api/v2/monitoramentos/novos-processos","Grátis"
"V2","Monitoramento de novos processos","Retornar um monitoramento específico","Retorna um monitoramento de novos processos a partir do id.","GET api/v2/monitoramentos/novos-processos/{id}","Grátis"
"V2","Monitoramento de novos processos","Remover um monitoramento","Remove um monitoramento de novos processos a partir do id.","DELETE api/v2/monitoramentos/novos-processos/{id}","Grátis"
"V2","Monitoramento de novos processos","Listar processos encontrados","Retorna os resultados do monitoramento de novos procesos.","GET api/v2/monitoramentos/novos-processos/{id}/resultados","Grátis"
"V2","Monitoramento de novos processos","Editar um monitoramento","Edita um monitoramento de novos processos (variações, termos_auxiliares, etc).","PATCH api/v2/monitoramentos/novos-processos/{id}","Grátis"
"V2","Monitoramento de processos","Listar todos os monitoramentos","Retorna todos os monitoramentos de processos do usuário.","GET api/v2/monitoramentos/processos","Grátis"
"V2","Monitoramento de processos","Retornar um monitoramento específico","Retorna um monitoramento de processos a partir do id.","GET api/v2/monitoramentos/processos/{id}","Grátis"
"V2","Monitoramento de processos","Remover um monitoramento","Remove um monitoramento de processos a partir do id.","DELETE api/v2/monitoramentos/processos/{id}","Grátis"
"V2","Resumo de processos (IA)","Status da solicitação de resumo inteligente","Permite consultar o status atual do resumo inteligente para um determinado processo.","GET api/v2/processos/numero_cnj/{numero}/ia/resumo/status","Grátis"
"V2","Tribunais","Retornar os Tribunais disponíveis","Retorna a lista de tribunais que são utilizados na V2.","GET api/v2/tribunais","Grátis"
"V2","Tribunais","Retornar os Sistemas disponíveis","Retorna a lista de sistemas dos tribunais (PJE, ESAJ, EPROC, etc).","GET api/v2/tribunais/sistemas","Grátis"
