"Versão","Grupo / Seção","Título Exato da Requisição","Descrição da Requisição","HTTP Request","Custo"
"V1","Busca","Buscar por termo","Pesquisa um termo no escavador.","GET api/v1/busca","R$ 3,00"
"V1","Diários Oficiais","Download do PDF da página do Diário Oficial","Retorna em formato PDF, uma página do Diário Oficial pelo seu identificador no Escavador.","GET api/v1/diarios/{id}/pdf/pagina/{pagina}/baixar","R$ 3,00"
"V1","Diários Oficiais","Página do Diário Oficial","Retorna uma página específica do Diário Oficial pelo seu identificador no Escavador (Rota legada).","GET api/v1/diarios/pagina/{id}","R$ 3,00"
"V1","Instituições","Obter Instituição","Retorna dados relacionados a uma instituição pelo seu identificador.","GET api/v1/instituicoes/{instituicaoId}","R$ 3,00"
"V1","Instituições","Pessoas de uma Instituição","Retorna as pessoas que estão associadas a uma instituição.","GET api/v1/instituicoes/{instituicaoId}/pessoas","R$ 3,00"
"V1","Instituições","Processos de uma Instituição","Retorna os processos de uma instituição que saíram em Diários Oficiais e estão no Escavador.","GET api/v1/instituicoes/{instituicaoId}/processos","R$ 3,00"
"V1","Jurisprudências","Busca por Jurisprudências","Traz a lista paginada dos itens encontrados na busca (Rota legada).","GET api/v1/jurisprudencias","R$ 3,00"
"V1","Jurisprudências","Documento de Jurisprudência","Traz informações sobre um documento de Jurisprudência em específico (Rota legada).","GET api/v1/jurisprudencias/{id}","R$ 3,00"
"V1","Jurisprudências","PDF de uma jurisprudência","Retorna, em formato PDF, um documento de jurisprudência (Rota legada).","GET api/v1/jurisprudencias/{id}/pdf","R$ 3,00"
"V1","Legislação","Busca por Legislação","Traz a lista paginada dos itens encontrados na busca (Rota legada).","GET api/v1/legislacoes","R$ 3,00"
"V1","Legislação","Documento de Legislação","Traz informações sobre um documento de Legislação em específico (Rota legada).","GET api/v1/legislacoes/{id}","R$ 3,00"
"V1","Legislação","Fragmentos do texto de uma Legislação","Traz os fragmentos de uma legislação paginados (Rota legada).","GET api/v1/legislacoes/{id}/fragmentos","R$ 3,00"
"V1","Monitoramento de Diários Oficiais","Registrar novo monitoramento","Cadastra um termo ou processo para ser monitorado nos diários.","POST api/v1/monitoramentos","R$ 3,00 / mês"
"V1","Monitoramento no site do Tribunal","Registrar novo monitoramento (Diária/Semanal)","Cadastra o número de um processo para ser monitorado nos tribunais (Atualização Diária ou Semanal).","POST api/v1/monitoramentos-tribunal","R$ 3,00 / mês"
"V1","Movimentações","Retornar uma movimentação","Retorna uma movimentação pelo seu identificador no Escavador.","GET api/v1/movimentacoes/{movimentaco}","R$ 3,00"
"V1","Pessoas","Obter pessoa","Retorna dados relacionados a uma pessoa pelo seu identificador.","GET api/v1/pessoas/{pessoaId}","R$ 3,00"
"V1","Pessoas","Processos de uma Pessoa","Retorna os processos de uma pessoa que saíram em Diários Oficiais e estão no Escavador.","GET api/v1/pessoas/{pessoaId}/processos","R$ 3,00"
"V1","Processos","Autos de um Processo","Retorna os autos de um processo na busca de processos em tribunais (Rota legada).","GET api/v1/processos/autos","R$ 3,00"
"V1","Processos","Autos de um Processo - Documentos específicos","Retorna alguns documentos dos autos de um processo, na busca em tribunais (Rota legada).","GET api/v1/processos/autos","R$ 0,75"
"V1","Processos","Buscar processos dos Diários Oficiais por OAB","Busca processos que estão nos Diários Oficiais do Escavador que estão relacionados ao OAB informado.","GET api/v1/oab/{estado}/{numero}/processos","R$ 3,00"
"V1","Processos","Buscar processos dos Diários Oficiais por número","Busca processos que estão nos Diários Oficiais do Escavador e contenham o número único informado.","GET api/v1/processos/numero/{numero}","R$ 3,00"
"V1","Processos","Envolvidos de um Processo que saíram em Diários Oficiais","Retorna os envolvidos de um Processo pelo identificador do processo no Escavador.","GET api/v1/processos/{processoId}/envolvidos","R$ 3,00"
"V1","Processos","Movimentações de um processo que saíram em Diários Oficiais","Retorna as movimentações de um Processo pelo identificador do processo no Escavador.","GET api/v1/processos/{processoId}/movimentacoes","R$ 3,00"
"V1","Processos","Processo no Diário Oficial","Retorna um processo pelo seu identificador no Escavador.","GET api/v1/processos/{id}","R$ 3,00"
"V1","Processos","Pesquisar processo no site do tribunal (assíncrono)","A busca é feita diretamente nos sites dos tribunais, pelos robôs do Escavador. (Inclui as opções de baixar autos ou documentos públicos por parâmetros).","POST api/v1/processo-tribunal/{numero}/async","R$ 3,00"
"V1","Processos","Pesquisar processos no site do tribunal por CPF ou CNPJ (assíncrono)","A busca é feita diretamente nos sites dos tribunais através do CPF/CNPJ.","POST api/v1/tribunal/{origem}/busca-por-documento/async","R$ 3,00"
"V1","Processos","Pesquisar processos no site do tribunal por OAB (assíncrono)","A busca é feita diretamente nos sites dos tribunais através do número OAB.","POST api/v1/tribunal/{origem}/busca-por-oab/async","R$ 3,00"
"V1","Processos","Pesquisar processos no site do tribunal por nome do envolvido (assíncrono)","A busca é feita diretamente nos sites dos tribunais através do nome da parte.","POST api/v1/tribunal/{origem}/busca-por-nome/async","R$ 3,00"
"V2","Resumo de processos (IA)","Solicita a geração/atualização do resumo inteligente de um processo","Esta rota registra uma solicitação para gerar ou atualizar o resumo inteligente do processo.","POST api/v2/processos/numero_cnj/{numero}/ia/resumo/solicitar-atualizacao","R$ 0,08"
"V2","Atualização de processos","Solicitar atualização de um processo","Solicita a atualização de um processo nos sistemas dos Tribunais para obter as informações mais recentes.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 3,00"
"V2","Atualização de processos","Solicitar atualização de um processo (baixando alguns documentos)","Atualiza o processo no tribunal e baixa apenas alguns documentos específicos dos autos enviando autos=1 e documentos_especificos.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 0,75"
"V2","Atualização de processos","Solicitar atualização de um processo (baixando autos inteiros)","Atualiza o processo no tribunal e baixa a íntegra dos autos do processo enviando autos=1.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 1,50"
"V2","Atualização de processos","Solicitar atualização de um processo (baixando documentos públicos)","Atualiza o processo no tribunal e baixa os documentos públicos enviando documentos_publicos=1.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 0,20"
"V2","Consulta de processos","Processos de um advogado por OAB","Retorna os processos de um advogado a partir da OAB.","GET api/v2/advogado/processos","R$ 3,00 até 200 itens (+ R$ 3,00 a cada 200)"
"V2","Consulta de processos","Processos do envolvido por Nome ou CPF/CNPJ","Retorna os processos de um envolvido a partir do nome ou CPF/CNPJ.","GET api/v2/envolvido/processos","R$ 3,00 até 200 itens (+ R$ 3,00 a cada 200)"
"V2","Consulta de processos","Resumo de processos do advogado por OAB","Retorna um resumo do advogado a partir da OAB, mostrando a quantidade de processos e o tipo da OAB informada.","GET api/v2/advogado/resumo","R$ 3,00"
"V2","Consulta de processos","Resumo de Processos do envolvido por Nome ou CPF/CNPJ","Retorna a quantidade de processos de um envolvido a partir do nome ou CPF/CNPJ.","GET api/v2/envolvido/resumo","R$ 3,00"
"V2","Consulta de processos","Autos do processo (públicos e restritos)","Retorna a lista paginada de todos os documentos de um processo (públicos e restritos), conhecidos como autos.","GET api/v2/processos/numero_cnj/{numero}/autos","R$ 0,18"
"V2","Consulta de processos","Processo por numeração CNJ","Retorna dados completos da capa de um processo judicial brasileiro a partir da numeração CNJ.","GET api/v2/processos/numero_cnj/{numero}","R$ 3,00"
"V2","Consulta de processos","Documentos públicos de um processo","Retorna uma lista dos documentos públicos de um processo a partir da numeração CNJ.","GET api/v2/processos/numero_cnj/{numero}/documentos-publicos","R$ 0,06"
"V2","Consulta de processos","Envolvidos de um processo","Retorna uma lista dos envolvidos de um processo a partir da numeração CNJ.","GET api/v2/processos/numero_cnj/{numero}/envolvidos","R$ 0,05"
"V2","Consulta de processos","Movimentações de um processo","Retorna as movimentações de um processo a partir do número CNJ.","GET api/v2/processos/numero_cnj/{numero}/movimentacoes","R$ 3,00"
"V2","Resumo de processos (IA)","Resumo inteligente de um processo","Retorna o resumo inteligente do processo gerado por IA, caso o resumo já exista.","GET api/v2/processos/numero_cnj/{numero}/ia/resumo","R$ 0,05"
"V2","Monitoramento de processos","Criar novo monitoramento","O número do processo informado será monitorado nos tribunais e diários oficiais (diária, semanal, mensal).","POST api/v2/monitoramentos/processos","R$ 3,00 / mês"
"V2","Monitoramento de novos processos","Criar novo monitoramento","O termo enviado será monitorado nas capas e nos envolvidos dos processos.","POST api/v2/monitoramentos/novos-processos","R$ 3,00 / mês até 200 itens (+ R$ 3,00 a cada 200)"
